DIDOK NUMMER,BPUIC,BEZEICHNUNG_OFFIZIELL,Abkuerzung,ORTSCHAFTSNAME,GEMEINDENAME,BFS_NUMMER,BEZIRKSNAME,BEZIRKSNUM,KANTONSNAME,KANTONSKUERZEL,KANTONSNUM,LAND_ISO2_GEO,BP_ART_BEZEICHNUNG_DE,BP_BETRIEBSPUNKT_ART_ID,BPOF_ART_BEZEICHNUNG_DE,BPOF_BETRIEBSPUNKT_ART_ID,BPTF_ART_BEZEICHNUNG_DE,BPVB_ART_BEZEICHNUNG_DE,BPVB_BETRIEBSPUNKT_ART_ID,BPVH_BEZEICHNUNG_ALT,BPVH_EPR_CODE,BPVH_IATA_CODE,E_LV95,N_LV95,Z_LV95,E_LV03,N_LV03,Z_LV03,E_WGS84,N_WGS84,Z_WGS84,BPVH_VERKEHRSMITTEL,BPVH_VERKEHRSMITTEL_TEXT_DE,GO_IDENTIFIKATION,tu-nummer,GO_ABKUERZUNG_DE,GO_BEZEICHNUNG_DE,dst_abk,lod,geopos,IS_HALTESTELLE,dist
18580,8518580,Rupperswil-Auenstein Kraftwerk,RAKW,Auenstein,Auenstein,4091,Brugg,1904,Aargau,AG,19,CH,BP Netze,31,,,,,,,,,2651031.0,1251425.0,353,651030.21,251424.85,353,8.1147828,47.41166217,353,,,100001,11,SBB,Schweizerische Bundesbahnen SBB,RAKW,http://lod.opentransportdata.swiss/didok/8518580,"47.4116621698, 8.1147827989",0,
95454,8595454,"Hunzenschwil, Oberdorf",,Hunzenschwil,Hunzenschwil,4200,Lenzburg,1907,Aargau,AG,19,CH,,,,,,,,,,,2651404.0,1248181.0,407,651403.23,248180.88,407,8.11935212,47.3824571,407,B,Bus,100672,873,RBL,Regionalbus Lenzburg,,http://lod.opentransportdata.swiss/didok/8595454,"47.382457097, 8.11935212204",1,
88577,8588577,"Hunzenschwil, Unterdorf",,Hunzenschwil,Hunzenschwil,4200,Lenzburg,1907,Aargau,AG,19,CH,,,,,,,,,,,2651720.0,1248895.0,409,651719.22,248894.87,409,8.12361909,47.38885401,409,B,Bus,100672,873,RBL,Regionalbus Lenzburg,,http://lod.opentransportdata.swiss/didok/8588577,"47.3888540135, 8.12361909343",1,
88570,8588570,"Rupperswil, Haldenweg",,Rupperswil,Rupperswil,4206,Lenzburg,1907,Aargau,AG,19,CH,,,,,,,,,,,2651918.0,1249879.0,374,651917.21,249878.86,374,8.12635548,47.39768841,374,B,Bus,100672,873,RBL,Regionalbus Lenzburg,,http://lod.opentransportdata.swiss/didok/8588570,"47.3976884067, 8.12635548352",1,
88573,8588573,"Hunzenschwil, Korbacher",,Hunzenschwil,Hunzenschwil,4200,Lenzburg,1907,Aargau,AG,19,CH,,,,,,,,,,,2652100.0,1248661.0,409,652099.22,248660.88,409,8.12862443,47.38671952,409,B,Bus,100672,873,RBL,Regionalbus Lenzburg,,http://lod.opentransportdata.swiss/didok/8588573,"47.3867195182, 8.12862442727",1,
80896,8580896,"Auenstein, Obermatt",,Auenstein,Auenstein,4091,Brugg,1904,Aargau,AG,19,CH,,,,,,,,,,,2652867.0,1252335.0,396,652866.18,252334.85,396,8.13921604,47.41970174,396,B,Bus,100602,801,PAG,PostAuto AG,,http://lod.opentransportdata.swiss/didok/8580896,"47.4197017426, 8.13921604474",1,
78701,8578701,"Schafisheim, Ausserdorf",,Schafisheim,Schafisheim,4207,Lenzburg,1907,Aargau,AG,19,CH,,,,,,,,,,,2653629.0,1247818.0,418,653628.2,247817.9,418,8.14877206,47.37901505,418,B,Bus,100672,873,RBL,Regionalbus Lenzburg,,http://lod.opentransportdata.swiss/didok/8578701,"47.3790150521, 8.14877205688",1,
72469,8572469,"Veltheim AG, Vorerli",,Veltheim AG,Veltheim (AG),4120,Brugg,1904,Aargau,AG,19,CH,,,,,,,,,,,2653762.0,1253894.0,379,653761.16,253893.85,379,8.15126344,47.43365055,379,B,Bus,100602,801,PAG,PostAuto AG,,http://lod.opentransportdata.swiss/didok/8572469,"47.433650545, 8.1512634433",1,
72468,8572468,"Veltheim AG, Au",,Veltheim AG,Veltheim (AG),4120,Brugg,1904,Aargau,AG,19,CH,,,,,,,,,,,2654333.0,1252345.0,352,654332.18,252344.86,352,8.15864357,47.41967239,352,B,Bus,100602,801,PAG,PostAuto AG,,http://lod.opentransportdata.swiss/didok/8572468,"47.4196723863, 8.15864357435",1,
90242,8590242,"Lenzburg, General Herzog-Str.",,Lenzburg,Lenzburg,4201,Lenzburg,1907,Aargau,AG,19,CH,,,,,,,,,,,2654603.0,1248862.0,409,654602.19,248861.9,409,8.16179624,47.38832467,409,B,Bus,100672,873,RBL,Regionalbus Lenzburg,,http://lod.opentransportdata.swiss/didok/8590242,"47.388324672, 8.16179623894",1,
